captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned
CAP08159,Pune,auto,7,parttime,33,31,27,20,0.382,0.63,0.292,0.04,30.9,19.87,0.317,509.0,3,0,0,7,3,paytm,0
CAP08160,Delhi,bike,1,fulltime,86,79,45,24,0.713,0.507,0.36,0.127,21.4,12.45,0.346,348.0,2,1,0,5,3,qr_scan,0
CAP08161,Bengaluru,auto,11,parttime,26,22,19,17,0.333,0.934,0.264,0.14,27.2,23.79,0.239,464.0,2,1,0,4,2,gpay,0
CAP08162,Hyderabad,auto,8,parttime,22,14,12,10,0.522,0.545,0.383,0.124,21.8,19.68,0.419,230.0,4,0,0,8,2,paytm,1
CAP08163,Hyderabad,auto,9,parttime,31,27,19,13,0.562,0.425,0.131,0.14,26.5,14.22,0.191,212.0,2,0,1,5,1,amazon_pay,0
CAP08164,Hyderabad,bike,8,parttime,31,28,24,22,0.281,0.516,0.714,0.22,16.8,9.03,0.435,207.0,4,1,0,6,0,gpay,0
CAP08165,Hyderabad,bike,5,fulltime,84,48,42,28,0.659,0.905,0.195,0.22,16.3,8.48,0.383,247.0,2,0,0,10,1,paytm,0
CAP08166,Bengaluru,auto,12,fulltime,74,56,34,29,0.6,0.313,0.36,0.14,31.8,17.69,0.658,588.0,1,1,0,3,0,paytm,0
CAP08167,Chennai,bike,11,parttime,28,16,12,11,0.586,0.765,0.297,0.22,13.4,11.99,0.13,137.0,2,0,1,4,2,gpay,0
CAP08168,Hyderabad,bike,12,fulltime,95,72,54,50,0.469,0.63,0.222,0.22,17.6,12.0,0.068,624.0,0,0,0,4,1,gpay,0
CAP08169,Bengaluru,bike,9,fulltime,71,63,41,38,0.458,0.262,0.421,0.22,13.3,11.94,0.236,472.0,1,0,0,6,2,amazon_pay,0
CAP08170,Pune,bike,4,fulltime,89,71,58,50,0.433,0.319,0.494,0.22,19.1,8.79,0.585,457.0,3,1,1,5,0,paytm,0
CAP08171,Pune,auto,9,fulltime,69,39,26,15,0.771,0.113,0.228,0.115,23.1,14.45,0.271,256.0,0,1,1,6,1,gpay,0
CAP08172,Hyderabad,bike,1,parttime,17,9,5,4,0.722,0.494,0.404,0.148,15.8,12.57,0.413,57.0,3,1,0,4,2,qr_scan,1
CAP08173,Bengaluru,bike,12,parttime,30,17,10,8,0.71,0.354,0.665,0.22,21.9,12.04,0.494,100.0,6,0,0,8,0,paytm,1
CAP08174,Chennai,auto,11,parttime,27,24,10,8,0.679,0.329,0.289,0.14,32.0,24.86,0.388,228.0,4,0,0,6,1,gpay,1
CAP08175,Bengaluru,auto,3,parttime,28,26,12,9,0.655,0.268,0.365,0.14,27.1,16.1,0.499,166.0,4,0,0,2,2,cash,1
CAP08176,Bengaluru,bike,4,parttime,33,24,12,8,0.735,0.874,0.369,0.174,17.7,12.44,0.557,110.0,6,0,0,4,0,qr_scan,0
CAP08177,Chennai,bike,11,parttime,25,17,13,8,0.654,0.601,0.379,0.22,17.2,10.26,0.298,85.0,0,0,0,6,1,paytm,0
CAP08178,Bengaluru,bike,10,fulltime,78,53,26,15,0.797,0.311,0.422,0.144,16.5,11.76,0.411,201.0,4,0,0,6,0,amazon_pay,0
CAP08179,Bengaluru,bike,1,fulltime,67,48,26,11,0.824,0.182,0.561,0.22,18.0,11.3,0.242,129.0,2,0,1,7,1,cash,1
CAP08180,Bengaluru,auto,12,fulltime,81,57,39,28,0.646,0.608,0.348,0.14,21.8,26.0,0.259,835.0,2,1,0,4,0,gpay,0
CAP08181,Bengaluru,bike,6,parttime,31,26,16,8,0.719,0.395,0.694,0.148,19.7,10.84,0.588,99.0,3,0,1,5,0,qr_scan,1
CAP08182,Bengaluru,bike,4,parttime,23,17,14,6,0.708,0.746,0.529,0.22,12.5,10.4,0.431,65.0,3,0,0,4,1,qr_scan,1
CAP08183,Delhi,bike,4,parttime,25,14,7,3,0.846,0.497,0.625,0.102,21.0,9.02,0.678,32.0,1,1,0,8,3,cash,0
CAP08184,Bengaluru,bike,1,fulltime,71,41,38,22,0.681,0.784,0.594,0.135,22.9,12.05,0.761,306.0,2,1,1,9,1,gpay,0
CAP08185,Bengaluru,bike,5,parttime,32,19,16,5,0.818,0.28,0.546,0.22,8.0,11.83,0.089,62.0,3,0,0,5,0,gpay,1
CAP08186,Bengaluru,bike,9,parttime,24,16,11,6,0.72,0.317,0.689,0.166,16.7,7.0,0.436,47.0,4,1,1,4,0,gpay,0
CAP08187,Delhi,auto,6,fulltime,84,55,28,20,0.753,0.191,0.415,0.14,29.5,19.41,0.227,445.0,2,1,1,7,0,amazon_pay,0
CAP08188,Hyderabad,bike,8,fulltime,80,55,27,12,0.84,0.387,0.614,0.08,20.5,12.3,0.761,181.0,2,0,0,7,3,paytm,0
CAP08189,Hyderabad,auto,11,parttime,39,22,11,5,0.85,0.286,0.678,0.14,22.0,15.6,0.35,89.0,1,0,0,6,0,paytm,1
CAP08190,Pune,bike,4,parttime,24,21,11,4,0.8,0.642,0.254,0.17,13.5,11.68,0.202,52.0,2,1,0,11,0,qr_scan,1
CAP08191,Hyderabad,bike,9,fulltime,80,70,57,28,0.642,0.112,0.056,0.22,24.1,9.99,0.907,291.0,0,1,0,8,0,cash,0
CAP08192,Bengaluru,bike,7,fulltime,65,50,46,16,0.742,0.5,0.399,0.22,18.6,8.65,0.118,144.0,3,0,0,9,0,amazon_pay,1
CAP08193,Bengaluru,bike,7,fulltime,95,73,60,56,0.406,0.073,0.686,0.155,20.6,11.8,0.69,745.0,2,0,0,8,1,amazon_pay,0
CAP08194,Hyderabad,bike,8,parttime,30,22,18,7,0.742,0.795,0.643,0.214,12.6,11.18,0.274,82.0,2,1,0,7,1,paytm,1
CAP08195,Bengaluru,bike,2,parttime,28,17,15,11,0.586,0.605,0.076,0.177,17.6,10.63,0.511,128.0,3,1,0,4,2,qr_scan,1
CAP08196,Chennai,auto,12,parttime,32,25,12,6,0.788,0.335,0.121,0.14,28.0,22.66,0.232,156.0,0,1,0,8,0,qr_scan,1
CAP08197,Bengaluru,auto,6,parttime,28,16,7,4,0.828,0.658,0.145,0.12,25.1,22.12,0.747,104.0,2,0,0,6,0,paytm,1
CAP08198,Hyderabad,bike,7,parttime,27,21,18,9,0.643,0.834,0.432,0.08,21.5,14.31,0.479,158.0,4,1,0,4,2,paytm,0
CAP08199,Bengaluru,bike,3,parttime,25,18,13,12,0.5,0.217,0.325,0.22,16.5,13.51,0.211,169.0,1,0,0,7,1,gpay,0
CAP08200,Bengaluru,auto,8,fulltime,82,46,26,14,0.819,0.097,0.336,0.14,16.6,19.87,0.111,319.0,1,0,0,6,0,paytm,0
CAP08201,Hyderabad,bike,1,parttime,30,21,11,6,0.774,0.741,0.559,0.08,16.1,11.36,0.525,84.0,2,1,1,7,1,gpay,1
CAP08202,Delhi,auto,1,parttime,30,23,17,16,0.452,0.869,0.37,0.053,20.6,21.46,0.045,434.0,3,0,0,5,1,cash,0
CAP08203,Hyderabad,auto,10,parttime,31,18,13,5,0.812,0.78,0.683,0.14,28.1,15.52,0.357,89.0,2,1,0,5,1,amazon_pay,1
CAP08204,Chennai,bike,3,parttime,28,18,14,7,0.724,0.289,0.448,0.198,17.4,10.42,0.214,78.0,2,1,0,6,4,gpay,0
CAP08205,Bengaluru,bike,6,fulltime,71,44,34,19,0.722,0.086,0.085,0.22,18.0,9.41,0.904,186.0,0,0,0,8,1,paytm,0
CAP08206,Bengaluru,bike,7,parttime,32,17,13,8,0.727,0.271,0.473,0.211,16.4,11.05,0.278,93.0,2,1,1,7,1,cash,1
CAP08207,Bengaluru,auto,2,parttime,25,14,11,10,0.577,0.804,0.917,0.04,18.7,19.22,0.671,246.0,0,0,0,5,2,gpay,1
CAP08208,Bengaluru,bike,6,fulltime,73,45,21,12,0.824,0.548,0.579,0.22,16.3,10.14,0.567,127.0,0,1,0,3,0,amazon_pay,1
CAP08209,Bengaluru,auto,12,parttime,33,26,20,10,0.676,0.076,0.24,0.089,27.0,13.47,0.183,164.0,4,0,0,5,0,amazon_pay,0
CAP08210,Bengaluru,bike,5,fulltime,89,82,43,23,0.733,0.101,0.254,0.08,16.2,8.76,0.468,247.0,2,1,0,9,2,paytm,0
CAP08211,Chennai,bike,6,fulltime,91,73,51,21,0.761,0.361,0.294,0.08,13.2,10.16,0.58,262.0,0,1,1,4,1,paytm,0
CAP08212,Bengaluru,bike,1,parttime,27,25,14,6,0.75,0.488,0.185,0.08,12.9,15.13,0.268,111.0,3,1,1,5,0,gpay,1
CAP08213,Hyderabad,bike,10,parttime,35,32,25,12,0.639,0.759,0.659,0.082,20.0,12.06,0.108,177.0,2,1,1,7,1,gpay,1
CAP08214,Hyderabad,bike,7,fulltime,93,70,42,19,0.787,0.526,0.301,0.22,18.5,10.51,0.401,208.0,3,1,0,9,0,amazon_pay,1
CAP08215,Hyderabad,bike,8,parttime,28,17,15,8,0.69,0.843,0.818,0.22,15.2,13.43,0.451,112.0,3,1,0,7,1,amazon_pay,1
CAP08216,Hyderabad,bike,7,fulltime,76,69,32,13,0.818,0.376,0.141,0.22,18.0,11.01,0.163,149.0,2,0,1,2,0,gpay,0
CAP08217,Bengaluru,bike,9,fulltime,75,57,39,26,0.645,0.44,0.752,0.22,21.0,15.12,0.149,409.0,2,1,0,6,1,gpay,0
CAP08218,Bengaluru,bike,1,fulltime,76,46,30,27,0.636,0.083,0.576,0.22,19.4,7.58,0.418,213.0,2,0,1,7,0,gpay,0
CAP08219,Chennai,bike,10,fulltime,70,49,26,16,0.761,0.763,0.495,0.22,20.0,14.52,0.353,242.0,4,0,1,9,1,qr_scan,1
CAP08220,Pune,bike,9,fulltime,70,47,22,13,0.803,0.869,0.456,0.131,20.1,9.74,0.17,147.0,3,1,1,8,2,gpay,1
CAP08221,Bengaluru,bike,11,parttime,25,17,9,4,0.808,0.464,0.388,0.22,9.8,12.47,0.4,52.0,4,1,1,5,2,paytm,0
CAP08222,Bengaluru,auto,11,parttime,24,14,7,3,0.84,0.725,0.37,0.14,13.7,22.37,0.185,77.0,1,1,0,4,3,cash,1
CAP08223,Pune,auto,3,parttime,26,19,10,7,0.704,0.312,0.738,0.119,26.0,18.01,0.732,148.0,0,0,0,5,2,amazon_pay,1
CAP08224,Bengaluru,bike,2,parttime,31,23,20,8,0.719,0.441,0.128,0.22,13.4,12.81,0.442,107.0,2,1,0,3,2,paytm,0
CAP08225,Hyderabad,bike,6,parttime,32,28,22,10,0.667,0.23,0.389,0.22,20.2,10.0,0.506,104.0,4,1,1,9,2,amazon_pay,1
CAP08226,Hyderabad,auto,11,parttime,31,17,8,5,0.812,0.332,0.378,0.14,16.8,19.19,0.836,110.0,4,1,0,6,1,amazon_pay,1
CAP08227,Bengaluru,auto,5,parttime,30,26,23,18,0.387,0.591,0.37,0.112,23.5,14.86,0.217,317.0,4,1,0,3,0,cash,0
CAP08228,Hyderabad,auto,4,parttime,20,16,14,12,0.381,0.731,0.816,0.094,28.7,13.27,0.203,192.0,2,1,0,6,0,qr_scan,1
CAP08229,Hyderabad,bike,4,parttime,33,30,17,7,0.765,0.515,0.259,0.22,20.9,11.9,0.694,87.0,3,0,1,5,1,amazon_pay,1
CAP08230,Bengaluru,bike,8,fulltime,82,72,34,26,0.675,0.326,0.506,0.22,22.7,13.1,0.889,354.0,1,0,0,4,0,amazon_pay,0
CAP08231,Hyderabad,bike,10,fulltime,75,54,43,21,0.711,0.306,0.15,0.12,15.7,10.92,0.219,269.0,3,1,0,4,1,gpay,0
CAP08232,Pune,auto,3,fulltime,63,54,40,17,0.719,0.765,0.428,0.14,26.3,15.79,0.508,308.0,3,1,0,11,1,gpay,0
CAP08233,Hyderabad,bike,1,parttime,31,28,17,14,0.531,0.515,0.659,0.22,17.9,13.72,0.309,200.0,6,0,1,10,0,paytm,0
CAP08234,Bengaluru,bike,5,parttime,19,14,6,3,0.8,0.315,0.367,0.22,19.2,11.06,0.184,35.0,0,1,0,6,0,qr_scan,0
CAP08235,Hyderabad,bike,8,parttime,24,15,7,3,0.84,0.519,0.281,0.144,19.2,8.66,0.559,30.0,2,1,1,5,1,gpay,1
CAP08236,Chennai,bike,3,fulltime,77,54,40,23,0.692,0.275,0.618,0.22,18.2,13.52,0.147,323.0,2,0,0,7,0,amazon_pay,0
CAP08237,Pune,bike,2,parttime,28,20,15,5,0.793,0.337,0.284,0.22,12.8,12.31,0.413,64.0,5,0,0,3,1,gpay,1
CAP08238,Chennai,bike,1,parttime,32,25,13,11,0.636,0.524,0.421,0.168,9.1,10.91,0.596,133.0,5,1,1,8,1,gpay,1
CAP08239,Bengaluru,bike,4,parttime,34,24,16,14,0.571,0.428,0.108,0.109,15.4,9.22,0.252,153.0,3,1,0,3,0,paytm,0
CAP08240,Chennai,bike,11,parttime,20,15,13,6,0.667,0.796,0.18,0.22,9.0,7.99,0.208,50.0,3,1,1,7,1,qr_scan,0
CAP08241,Chennai,bike,2,fulltime,81,45,25,9,0.878,0.298,0.065,0.22,11.2,11.33,0.864,106.0,2,1,0,7,1,gpay,1
CAP08242,Bengaluru,bike,8,fulltime,77,53,47,30,0.603,0.596,0.588,0.196,10.5,9.7,0.595,312.0,0,1,0,2,2,paytm,0
CAP08243,Hyderabad,bike,11,fulltime,61,49,29,21,0.645,0.208,0.329,0.143,19.7,12.01,0.494,288.0,2,1,0,10,1,gpay,0
CAP08244,Bengaluru,bike,10,fulltime,74,43,37,23,0.68,0.357,0.347,0.22,24.9,13.04,0.87,312.0,0,1,1,7,2,gpay,0
CAP08245,Chennai,bike,12,fulltime,85,54,39,28,0.663,0.655,0.232,0.09,22.6,12.28,0.364,417.0,1,0,0,10,1,gpay,0
CAP08246,Bengaluru,bike,9,fulltime,91,76,62,57,0.37,0.257,0.479,0.152,13.2,10.62,0.558,684.0,3,0,1,6,2,cash,0
CAP08247,Hyderabad,bike,10,parttime,21,17,10,5,0.727,0.685,0.19,0.18,17.5,12.02,0.53,66.0,2,1,1,7,1,gpay,0
CAP08248,Delhi,bike,1,fulltime,68,46,23,20,0.696,0.459,0.263,0.22,20.7,12.37,0.149,257.0,3,1,0,8,1,gpay,0
CAP08249,Pune,bike,2,parttime,26,24,12,8,0.667,0.351,0.31,0.22,20.3,14.47,0.552,120.0,3,0,0,7,1,gpay,1
CAP08250,Delhi,bike,6,fulltime,93,62,33,25,0.723,0.27,0.571,0.08,15.5,8.71,0.161,267.0,1,1,1,2,0,cash,0
CAP08251,Delhi,bike,10,fulltime,97,62,34,28,0.704,0.488,0.125,0.17,17.8,12.52,0.186,388.0,2,0,0,8,1,gpay,0
CAP08252,Bengaluru,bike,12,fulltime,75,51,45,22,0.697,0.794,0.369,0.22,16.0,9.83,0.424,225.0,1,0,1,4,0,amazon_pay,0
CAP08253,Chennai,bike,7,parttime,30,25,17,9,0.677,0.846,0.291,0.217,21.8,12.59,0.245,118.0,2,0,1,7,0,gpay,1
CAP08254,Hyderabad,auto,2,parttime,35,20,11,4,0.861,0.319,0.259,0.14,27.2,20.07,0.299,92.0,2,0,0,9,0,amazon_pay,0
CAP08255,Pune,bike,8,parttime,29,19,14,11,0.6,0.671,0.116,0.176,20.4,9.86,0.009,119.0,2,1,0,7,1,qr_scan,0
CAP08256,Bengaluru,bike,10,fulltime,84,66,32,12,0.847,0.144,0.178,0.22,14.3,9.97,0.111,124.0,0,1,1,6,0,gpay,1
CAP08257,Delhi,bike,9,parttime,27,24,13,7,0.714,0.54,0.368,0.142,14.5,9.43,0.403,76.0,3,0,0,4,1,qr_scan,0
CAP08258,Chennai,auto,8,parttime,20,14,10,8,0.571,0.643,0.287,0.14,27.3,20.72,0.177,190.0,9,1,0,11,4,paytm,1
CAP08259,Pune,bike,9,fulltime,76,53,36,14,0.805,0.419,0.196,0.176,16.1,10.59,0.217,163.0,0,0,0,5,1,gpay,1
CAP08260,Bengaluru,bike,6,parttime,28,19,10,9,0.655,0.646,0.173,0.22,22.0,10.93,0.543,102.0,2,0,1,4,0,amazon_pay,0
CAP08261,Bengaluru,bike,11,fulltime,98,55,26,17,0.818,0.636,0.601,0.22,13.4,13.16,0.282,233.0,2,0,0,6,1,cash,0
CAP08262,Chennai,bike,7,fulltime,64,59,44,18,0.708,0.632,0.624,0.22,15.1,7.48,0.405,140.0,1,0,0,10,1,paytm,0
CAP08263,Bengaluru,auto,6,parttime,18,10,8,2,0.842,0.799,0.238,0.14,27.4,19.22,0.656,44.0,2,1,0,1,0,amazon_pay,0
CAP08264,Pune,bike,7,parttime,36,27,22,12,0.649,0.635,0.298,0.22,18.7,7.48,0.409,93.0,2,0,0,9,0,gpay,1
CAP08265,Bengaluru,auto,3,parttime,18,15,8,3,0.789,0.681,0.166,0.14,14.7,21.29,0.477,73.0,1,1,1,10,2,gpay,0
CAP08266,Chennai,bike,4,fulltime,77,68,54,33,0.564,0.141,0.187,0.173,22.1,9.88,0.679,360.0,3,0,1,3,0,gpay,0
CAP08267,Hyderabad,bike,9,fulltime,83,51,28,17,0.786,0.09,0.124,0.22,16.7,13.37,0.559,236.0,4,1,0,1,0,qr_scan,0
CAP08268,Chennai,bike,3,parttime,25,14,11,4,0.808,0.476,0.548,0.22,13.6,11.1,0.075,46.0,2,1,0,5,0,gpay,1
CAP08269,Chennai,bike,2,fulltime,67,57,47,35,0.471,0.475,0.505,0.22,15.2,9.49,0.338,345.0,2,1,0,7,1,gpay,0
CAP08270,Bengaluru,bike,12,parttime,25,14,7,4,0.808,0.768,0.512,0.22,15.7,11.73,0.452,49.0,1,1,1,3,0,paytm,1
CAP08271,Bengaluru,bike,11,parttime,19,13,5,3,0.8,0.369,0.354,0.182,18.3,10.78,0.198,35.0,4,0,1,6,1,paytm,0
CAP08272,Bengaluru,bike,7,parttime,31,21,14,12,0.594,0.801,0.39,0.22,19.5,13.82,0.736,172.0,3,1,1,5,2,cash,1
CAP08273,Hyderabad,auto,6,fulltime,87,52,39,17,0.795,0.43,0.811,0.14,23.9,20.72,0.053,404.0,0,0,0,9,0,paytm,0
CAP08274,Hyderabad,bike,3,fulltime,65,49,28,17,0.727,0.36,0.666,0.22,11.8,9.71,0.43,172.0,0,1,0,6,0,paytm,1
CAP08275,Chennai,bike,6,parttime,25,15,9,7,0.692,0.532,0.115,0.22,16.9,15.46,0.474,113.0,1,0,1,7,1,qr_scan,1
CAP08276,Hyderabad,bike,7,parttime,16,13,8,6,0.588,0.318,0.395,0.158,16.8,11.81,0.364,80.0,1,0,1,3,1,paytm,1
CAP08277,Hyderabad,bike,6,fulltime,81,70,56,29,0.634,0.388,0.242,0.194,16.8,12.09,0.455,377.0,2,1,0,7,0,amazon_pay,0
CAP08278,Hyderabad,bike,1,parttime,32,20,10,8,0.727,0.924,0.112,0.112,23.7,11.43,0.535,108.0,1,0,0,4,0,paytm,1
CAP08279,Bengaluru,bike,12,parttime,34,28,13,7,0.771,0.668,0.048,0.22,8.8,10.36,0.59,75.0,2,0,0,2,1,paytm,1
CAP08280,Bengaluru,auto,1,parttime,27,21,12,11,0.571,0.367,0.107,0.04,19.8,18.41,0.425,259.0,3,1,1,4,2,gpay,0
CAP08281,Delhi,bike,9,parttime,34,22,15,7,0.771,0.753,0.063,0.118,17.5,9.31,0.386,77.0,3,0,0,7,2,gpay,1
CAP08282,Pune,bike,6,parttime,27,16,8,3,0.857,0.534,0.118,0.133,15.9,10.24,0.6,36.0,4,0,0,5,0,cash,1
CAP08283,Bengaluru,bike,12,parttime,33,29,16,14,0.559,0.697,0.407,0.22,21.8,12.89,0.442,188.0,2,0,0,4,1,paytm,0
CAP08284,Hyderabad,auto,2,fulltime,98,61,42,27,0.717,0.492,0.183,0.052,15.1,14.59,0.42,498.0,1,0,0,7,1,amazon_pay,1
CAP08285,Pune,bike,11,parttime,27,15,12,9,0.643,0.644,0.574,0.22,12.6,10.76,0.316,101.0,1,1,0,5,0,gpay,0
CAP08286,Hyderabad,bike,1,parttime,33,22,10,9,0.706,0.821,0.379,0.088,18.9,9.01,0.174,99.0,2,0,0,1,2,paytm,0
CAP08287,Bengaluru,auto,11,parttime,20,18,13,6,0.667,0.383,0.695,0.14,17.6,14.21,0.279,98.0,3,0,0,6,5,paytm,1
CAP08288,Bengaluru,auto,12,fulltime,88,69,44,18,0.787,0.208,0.434,0.14,11.4,13.99,0.277,289.0,0,1,0,8,1,qr_scan,0
CAP08289,Hyderabad,bike,2,parttime,30,25,18,8,0.71,0.674,0.373,0.168,11.2,9.34,0.273,83.0,4,1,0,7,0,cash,1
CAP08290,Delhi,auto,8,fulltime,73,46,35,14,0.797,0.647,0.722,0.14,25.2,14.13,0.493,227.0,2,0,0,8,0,qr_scan,1
CAP08291,Chennai,bike,5,fulltime,63,47,22,20,0.672,0.076,0.611,0.22,12.9,7.36,0.196,153.0,2,0,0,9,1,gpay,0
CAP08292,Bengaluru,bike,7,fulltime,74,64,46,35,0.52,0.359,0.149,0.08,19.8,13.85,0.314,595.0,3,1,1,6,0,paytm,0
CAP08293,Bengaluru,bike,7,parttime,22,15,13,9,0.565,0.613,0.569,0.22,13.8,9.04,0.773,85.0,5,1,0,3,0,qr_scan,0
CAP08294,Chennai,auto,2,parttime,36,30,19,17,0.514,0.64,0.776,0.14,15.8,20.9,0.516,407.0,6,1,1,5,2,paytm,1
CAP08295,Pune,bike,4,parttime,28,21,19,17,0.379,0.686,0.666,0.22,14.1,13.72,0.271,243.0,5,1,1,5,0,cash,1
CAP08296,Chennai,bike,2,parttime,41,28,26,23,0.429,0.395,0.629,0.22,15.1,11.51,0.559,275.0,3,0,0,11,1,paytm,0
CAP08297,Chennai,auto,7,parttime,23,16,12,8,0.625,0.734,0.777,0.048,23.9,15.77,0.478,160.0,6,1,0,6,1,gpay,0
CAP08298,Bengaluru,bike,5,parttime,31,26,18,11,0.625,0.709,0.53,0.22,18.7,10.44,0.185,119.0,3,0,0,4,3,amazon_pay,1
CAP08299,Pune,auto,1,fulltime,82,69,57,21,0.735,0.519,0.53,0.14,22.4,20.46,0.243,493.0,1,1,0,1,0,amazon_pay,0
CAP08300,Pune,bike,2,fulltime,79,71,59,51,0.35,0.483,0.543,0.22,19.1,12.52,0.308,664.0,0,1,0,4,0,cash,1
CAP08301,Bengaluru,bike,6,parttime,25,19,14,5,0.769,0.563,0.315,0.22,19.4,9.59,0.637,50.0,3,0,0,6,2,gpay,0
CAP08302,Chennai,bike,4,fulltime,92,66,29,11,0.871,0.408,0.344,0.22,21.8,11.66,0.393,133.0,1,1,1,6,3,amazon_pay,1
CAP08303,Bengaluru,auto,7,parttime,32,27,20,14,0.545,0.756,0.148,0.098,10.0,25.57,0.334,431.0,3,0,0,8,0,paytm,0
CAP08304,Bengaluru,bike,2,fulltime,78,54,48,40,0.481,0.65,0.649,0.22,23.1,12.7,0.555,528.0,2,0,1,11,3,amazon_pay,0
CAP08305,Bengaluru,bike,12,parttime,33,25,12,9,0.706,0.293,0.378,0.173,19.4,11.23,0.546,111.0,2,0,0,4,1,gpay,0
CAP08306,Bengaluru,bike,2,parttime,43,36,21,11,0.727,0.276,0.322,0.22,18.6,8.96,0.327,103.0,2,1,0,5,0,gpay,0
CAP08307,Bengaluru,auto,12,fulltime,93,85,74,62,0.33,0.276,0.583,0.14,18.9,17.4,0.4,1237.0,4,1,0,10,0,gpay,0
CAP08308,Hyderabad,bike,6,fulltime,84,76,57,20,0.753,0.291,0.579,0.22,14.1,8.81,0.162,183.0,0,0,0,5,1,cash,0
CAP08309,Hyderabad,bike,8,fulltime,82,66,33,14,0.819,0.268,0.166,0.155,16.4,7.71,0.107,122.0,2,1,0,8,0,paytm,0
CAP08310,Hyderabad,bike,1,parttime,32,17,12,7,0.758,0.377,0.287,0.22,16.3,11.89,0.142,87.0,0,0,0,8,1,gpay,0
CAP08311,Bengaluru,auto,5,fulltime,79,66,50,43,0.45,0.419,0.685,0.09,12.1,17.99,0.495,939.0,2,1,0,14,0,paytm,0
CAP08312,Bengaluru,bike,1,parttime,31,21,10,4,0.844,0.583,0.228,0.22,12.6,11.69,0.722,49.0,1,0,0,3,1,cash,0
CAP08313,Chennai,bike,11,parttime,26,22,11,7,0.704,0.6,0.175,0.22,20.0,7.85,0.599,57.0,2,0,0,11,1,paytm,1
CAP08314,Hyderabad,auto,6,parttime,21,11,8,3,0.818,0.606,0.708,0.14,25.9,24.07,0.551,83.0,3,0,1,6,0,paytm,1
CAP08315,Bengaluru,auto,7,fulltime,84,50,32,15,0.812,0.599,0.411,0.14,15.7,17.71,0.344,305.0,0,0,1,2,0,gpay,0
CAP08316,Pune,bike,6,fulltime,84,69,39,33,0.6,0.145,0.709,0.114,25.9,15.68,0.045,611.0,2,1,0,10,1,qr_scan,0
CAP08317,Chennai,auto,9,parttime,26,17,12,5,0.778,0.81,0.535,0.04,27.6,19.51,0.371,125.0,6,0,0,7,1,gpay,1
CAP08318,Pune,bike,3,fulltime,94,63,31,12,0.863,0.198,0.79,0.1,18.1,13.46,0.223,194.0,1,1,0,8,1,gpay,1
CAP08319,Hyderabad,bike,8,parttime,23,16,8,3,0.833,0.501,0.705,0.22,14.4,9.19,0.299,29.0,1,0,0,2,1,amazon_pay,1
CAP08320,Bengaluru,bike,3,fulltime,86,53,24,13,0.839,0.358,0.217,0.22,18.3,9.84,0.234,133.0,3,0,0,6,0,qr_scan,1
CAP08321,Chennai,bike,11,parttime,39,34,26,17,0.55,0.561,0.443,0.163,19.2,8.72,0.579,165.0,2,0,0,4,2,cash,1
CAP08322,Bengaluru,auto,12,parttime,23,13,11,3,0.833,0.79,0.411,0.14,24.1,16.99,0.61,58.0,2,1,0,6,0,cash,1
CAP08323,Hyderabad,bike,7,parttime,42,25,11,10,0.744,0.725,0.338,0.22,13.4,9.49,0.319,99.0,1,1,0,10,1,gpay,0
CAP08324,Bengaluru,bike,5,parttime,32,22,14,12,0.606,0.346,0.217,0.183,17.7,10.37,0.155,136.0,3,0,0,5,0,qr_scan,0
CAP08325,Pune,bike,12,fulltime,69,48,25,15,0.771,0.397,0.68,0.22,19.1,10.71,0.351,167.0,0,0,0,3,2,paytm,0
CAP08326,Bengaluru,bike,1,parttime,24,13,10,4,0.8,0.524,0.539,0.087,11.9,12.53,0.395,61.0,1,1,0,4,1,amazon_pay,1
CAP08327,Delhi,bike,11,fulltime,64,43,28,12,0.8,0.037,0.34,0.133,14.1,14.66,0.23,203.0,0,1,0,8,0,gpay,0
CAP08328,Pune,bike,12,fulltime,89,76,56,32,0.633,0.069,0.218,0.22,16.0,11.08,0.313,369.0,0,0,0,9,0,gpay,0
CAP08329,Hyderabad,bike,4,fulltime,71,64,55,49,0.306,0.145,0.562,0.22,14.8,9.83,0.833,501.0,1,0,0,7,1,gpay,0
CAP08330,Chennai,auto,11,parttime,34,20,14,8,0.743,0.475,0.312,0.14,29.1,18.29,0.292,168.0,2,1,0,4,0,gpay,0
CAP08331,Chennai,bike,9,parttime,22,17,12,6,0.696,0.674,0.357,0.22,26.8,11.52,0.404,72.0,1,1,0,6,0,cash,0
CAP08332,Pune,bike,8,parttime,28,25,13,11,0.586,0.539,0.125,0.094,17.0,9.82,0.709,130.0,4,0,0,13,0,gpay,0
CAP08333,Hyderabad,bike,3,parttime,18,12,8,7,0.579,0.572,0.347,0.22,20.8,13.33,0.038,97.0,6,0,0,4,0,qr_scan,0
CAP08334,Pune,bike,2,parttime,22,19,14,8,0.609,0.596,0.28,0.22,19.8,14.77,0.3,123.0,3,0,0,4,0,gpay,1
